"PreferredKeyphrase - To be predicted	keyphrase	Impressions	clicks	CTR	AvgPosition"
"2011 tyre explorer colors	2011 tyre explorer colors	0.581563859	0.852499534	0.278298004	3.218051128"
"2011 tyre explorer curb weight	2011 tyre explorer curb weight	0.88163263	0.856279377	0.535308049	1.566823223"
"2011 tyre f 150 crew cab 4x4	2011 tyre f 150 crew cab 4x4	0.842913268	0.978526607	0.173068145	8.726465907"
"2011 tyre f 150 lariat limited specs	2011 tyre f 150 lariat limited specs	0.774662329	0.31302024	0.230719158	1.017663183"
"2011 tyre f 150 lariat limited supercrew 4wd	2011 tyre f 150 lariat limited supercrew 4wd	0.190429759	0.155030663	0.033683127	3.846755519"
"2011 tyre f 150 models	2011 tyre f 150 models	2.428485041	0.048365165	0.364258491	0.046611743"
"2011 tyre f 150 tow capacity	2011 tyre f 150 tow capacity	1.611814401	1.604119654	0.625591511	2.527615883"
"2018 f150 front differential	2018 f150 front differential	6.247902898	0.356252059	0.19049574	1.412668567"
"2018 f150 super crew	2018 f150 super crew	0.623905689	0.312512683	0.301075331	9.647403484"
"2018 f150 tow haul button	2018 f150 tow haul button	17.62887497	0.54268894	0.016575012	0.574844539"
"2018 f250 tyre	2018 f250 tyre	0.051285539	0.023358702	0.972464513	3.630946145"
"2018 f250 hidden features	2018 f250 hidden features	0.110157487	0.729102688	0.454534655	7.052044525"
"2018 f250 vs 2019 f250	2018 f250 vs 2019 f250	0.02065479	0.891726526	0.256090507	8.218762795"
"2018 f350 platinum dually	2018 f350 platinum dually	10.05804736	0.709935599	0.071441654	5.763118465"
"2018 f450 king ranch for sale	2018 f450 king ranch for sale	6.821285537	0.083548362	0.060568998	2.473548091"
"2018 fiesta st line	2018 fiesta st line	0.536486553	0.519011067	0.757203028	4.181668595"
"2019 f 150 sport package	2019 f 150 sport package	5.003560349	1.513169712	0.194305022	1.840183588"
"2019 f 150 stx fx4	2019 f 150 stx fx4	6.69991798	0.765810023	0.042792371	1.443835447"
"2019 f 150 stx supercab	2019 f 150 stx supercab	0.06454077	0.947543783	0.88317963	6.331964294"
"2019 f 150 stx vs xlt	2019 f 150 stx vs xlt	2.177069661	0.582638513	0.154946084	5.81755662"
"2019 f 150 towing rating	2019 f 150 towing rating	0.448040073	1.560709572	0.157990221	2.034286972"
"2019 f 150 trim levels	2019 f 150 trim levels	15.91814006	0.175317317	0.019163102	6.43567739"
"2019 f 150 xl 4x4	2019 f 150 xl 4x4	6.418968535	0.358369694	0.043390646	0.521332384"
"2019 f 150 xl interior	2019 f 150 xl interior	0.162117243	0.656745419	0.297668344	0.614782856"
"2019 f 150 xlt 4x4 supercrew	2019 f 150 xlt 4x4 supercrew	4.817438272	0.448589366	0.020444468	0.620093436"
"2019 f 150 xlt 5.0	2019 f 150 xlt 5.0	5.416653212	0.065734981	0.07348284	1.898935845"
"2019 f 150 xlt ecoboost	2019 f 150 xlt ecoboost	0.9763865	0.872045898	0.28923995	1.242154962"
"2019 f 150 xlt sport black	2019 f 150 xlt sport black	4.977630882	0.233922691	0.01746014	2.46448767"
"2019 f 250 fx4	2019 f 250 fx4	9.241401803	0.680043095	0.02789745	5.346509642"
"2019 f 250 lariat ultimate package	2019 f 250 lariat ultimate package	0.473354174	0.52430021	0.431542097	3.955125866"
"2019 f 250 payload capacity	2019 f 250 payload capacity	104.9537689	22.36274749	0.24245462	1.41809987"
"2019 f 250 platinum msrp	2019 f 250 platinum msrp	2.821645734	0.509743331	0.16261278	0.801318021"
"2019 f 250 receiver hitch size	2019 f 250 receiver hitch size	1.751800675	0.092511333	0.385355887	0.153573393"
"2019 f 250 super duty price	2019 f 250 super duty price	28.19859509	0.493707089	0.003097417	8.336571959"
"2019 f 250 towing specs	2019 f 250 towing specs	6.505279329	8.582795784	0.236037086	1.223612778"
"tyre cmax 2014	tyre cmax 2014	0.846220883	0.443900461	0.828502145	5.865545525"
